A1C	R	R	R	R	R	R	N	R	-	R	R	M	M	M	R	-	R	M	K	K	K	R	K	R	K	R	R	R	R	K	K	R	R	R	K	R	R	R	R	R	R	R	K	R	R	R	R	R	K	R	R	R	R	R	R	-	R	R	R	R	-	R	R	R	R	-	R	-	R	M	R	R	R	R	M	-	M	R	M	M	R	L	M	R	R	R	R	R	M	-	-	-	-	M	R	R	R	M	R	M	R	-	R	R	-	K	R	M	R	R	L	R	M	R	M
G1T	R	R	R	M	R	R	R	R	-	R	R	R	R	R	R	-	R	R	M	M	M	R	M	R	M	R	R	R	R	M	M	R	R	R	M	R	R	R	R	R	R	R	M	R	R	R	R	R	M	R	R	R	R	R	R	-	R	R	R	R	-	R	R	R	R	M	R	-	R	-	R	M	R	R	R	-	R	R	R	R	R	M	R	R	R	R	R	R	R	-	-	-	-	R	R	R	R	R	R	R	R	-	R	R	-	M	R	R	R	R	M	R	R	R	R
G2T	R	R	R	R	R	R	R	R	-	R	M	R	R	R	R	-	R	R	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	R	R	R	R	-	R	R	R	R	R	K	R	R	M	R	R	R	R	-	-	-	-	R	R	M	R	R	N	R	R	-	R	R	-	R	R	R	R	R	K	R	R	R	R
M13C	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	R	N	D	R	N	N	N	M	N	N	R	I	N	N	N	L	N	N	N	N	N	N	N	R	N	N	N	N	N	R	K	N	N	N	N	N	R	N	N	M	N	-	M	M	K	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
M21C	N	R	N	R	N	N	R	N	-	R	L	L	I	N	-	R	R	L	R	R	N	D	R	M	L	M	D	K	M	N	G	D	D	M	I	D	D	-	-	M	D	D	I	M	D	D	M	D	N	N	K	D	M	D	D	N	D	D	D	M	R	K	K	I	N	-	M	M	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
M2NY	N	L	M	R	N	M	M	-	-	R	I	I	G	R	-	R	R	R	R	L	N	D	N	K	H	D	K	D	D	L	N	M	D	D	N	L	D	D	D	-	D	D	H	D	L	D	K	C	N	N	D	D	D	D	C	K	C	D	D	D	M	L	L	G	N	-	L	L	N	-	N	N	N	N	N	R	N	M	R	R	R	R	N	N	K	R	R	N	N	R	R	R	M	L	R	N	R	K	N	L	K	-	N	R	M	N	N	R	R	R	R	R	R	R	L
M3C	N	R	N	R	M	N	D	N	-	R	N	K	K	N	-	R	R	N	R	R	L	N	R	N	N	N	N	M	N	R	L	N	N	N	R	M	N	N	N	N	N	N	R	N	N	N	N	N	R	M	M	M	N	M	N	M	N	N	N	N	-	N	-	M	M	-	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
M46C	N	K	-	R	N	N	R	N	-	R	K	R	L	R	-	R	R	N	R	R	N	D	R	N	N	N	N	N	N	R	H	N	M	N	R	N	N	N	N	N	N	N	L	N	M	N	N	N	R	L	N	N	N	N	N	R	N	N	N	N	-	N	-	L	K	-	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
M4C	N	R	L	R	N	N	N	N	-	R	N	H	Q	R	-	R	R	N	R	R	N	M	N	D	E	D	D	D	D	N	N	D	D	L	N	I	D	D	D	-	D	D	G	D	D	D	D	D	N	N	D	D	D	L	C	N	C	D	I	D	L	D	-	Q	H	-	-	-	-	-	N	N	K	N	N	R	N	N	R	R	R	H	L	N	I	R	R	N	N	M	R	R	L	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
M5C	N	R	K	R	N	N	D	L	M	R	N	N	E	R	-	R	-	I	R	R	N	N	N	D	G	D	D	L	-	I	R	D	D	K	H	D	D	M	K	L	D	C	N	D	D	D	D	C	N	D	D	K	D	K	D	N	M	K	L	L	K	D	-	E	I	-	N	N	N	-	K	L	N	R	K	R	N	N	L	R	R	R	N	N	L	R	R	K	L	R	R	M	K	I	K	K	R	L	M	I	R	M	N	R	K	N	N	R	R	R	R	R	R	R	I
